date,ticker_id,action,price,shares,cash_balance,portfolio_value
2024-04-12,LYB,SELL_MAX_DAYS,91.04,23.904180722073274,8501.49135837606,10609.35892111184
2024-04-12,HLT,SELL_MAX_DAYS,204.33,10.31599648967738,10609.35892111184,10609.35892111184
2024-05-09,WCN,BUY,164.76,12.878561448302792,8487.487136889471,10609.358921111838
2024-05-09,ROKU,BUY,60.24,35.22363519625444,6365.615352667103,10609.358921111838
2024-05-09,NOV,BUY,18.23,116.39450270007502,4243.7435684447355,10609.358921111838
2024-05-09,PEP,BUY,168.81,12.569585831540595,2121.8717842223678,10609.358921111838
2024-05-09,TMO,BUY,575.14,3.6893135310052645,0.0,10609.358921111838
2024-05-23,WCN,SELL_MAX_DAYS,163.2,12.878561448302792,2101.7812283630155,10389.606271303719
2024-05-23,ROKU,SELL_MAX_DAYS,56.2,35.22363519625444,4081.349526392515,10389.606271303717
2024-05-23,NOV,SELL_MAX_DAYS,17.39,116.39450270007502,6105.449928346819,10389.606271303717
2024-05-23,PEP,SELL_MAX_DAYS,169.95,12.569585831540595,8241.651040417142,10389.606271303717
2024-05-23,TMO,SELL_MAX_DAYS,582.21,3.6893135310052645,10389.606271303717,10389.606271303717
2024-05-23,ETN,BUY,332.98,7.800473205075167,7792.204703477788,10389.606271303717
2024-05-23,CDNS,BUY,294.69,8.814013260802637,5194.803135651859,10389.606271303717
2024-05-23,WMT,BUY,64.03,40.565384473308285,2597.4015678259293,10389.606271303717
2024-05-23,LLY,BUY,800.02,3.246670793012586,0.0,10389.606271303717
2024-06-07,ETN,SELL_MAX_DAYS,309.77,7.800473205075167,2416.3525847361343,10381.430486941761
2024-06-07,CDNS,SELL_MAX_DAYS,294.42,8.814013260802637,5011.374368981647,10381.430486941761
2024-06-07,WMT,SELL_MAX_DAYS,65.06,40.565384473308285,7650.558282815085,10381.430486941761
2024-06-07,LLY,SELL_TP,841.13,3.246670793012586,10381.430486941761,10381.430486941761
2024-07-11,LLY,BUY,924.4,2.2460905423932847,8305.144389553408,10381.430486941761
2024-07-11,ARGX,BUY,461.72,4.49685111623571,6228.858292165056,10381.430486941761
2024-07-11,AXP,BUY,235.59,8.813133398651692,4152.572194776703,10381.43048694176
2024-07-11,MELI,BUY,1708.65,1.2151617343448642,2076.286097388351,10381.43048694176
2024-07-11,UPS,BUY,126.17,16.45625820233297,0.0,10381.43048694176
2024-07-15,UPS,SELL_TP,131.56,16.45625820233297,2164.985329098926,10595.989234854322
2024-07-15,TJX,BUY,111.68,19.385613620155137,0.0,10595.989234854322
2024-07-16,AXP,SELL_TP,246.33,8.813133398651692,2170.9391500898714,10664.07066424694
